Grande Sector ID,Grande Sector,Section ID,Section,Division ID,Division,Group ID,Group,Class ID,Class,Establishments,Number workers,Empregados / Total empresas,RCA,PCI,Opportunity Gain,Relatedness,Distance
1,"Agricultura","A","Agricultura, Pecuária, Produção Florestal, Pesca E Aquicultura","A01","Agricultura, Pecuária E Serviços Relacionados","A011","Produção de lavouras temporárias","A01113","Cultivo de cereais",743,5173,6.962314939434724,3.359845105043341,-0.9844852342783399,0.5256752893695091,0.6611168317593629,0.33888316824063713
1,"Agricultura","A","Agricultura, Pecuária, Produção Florestal, Pesca E Aquicultura","A01","Agricultura, Pecuária E Serviços Relacionados","A011","Produção de lavouras temporárias","A01121","Cultivo de algodão herbáceo e de outras fibras de lavoura temporária",174,4352,25.011494252873565,15.319673421907876,-1.2155244044682465,0.5606062458672834,0.5792976916662372,0.42070230833376276
1,"Agricultura","A","Agricultura, Pecuária, Produção Florestal, Pesca E Aquicultura","A01","Agricultura, Pecuária E Serviços Relacionados","A011","Produção de lavouras temporárias","A01130","Cultivo de cana-de-açúcar",60,408,6.8,0.09812196579346182,-0.6784146090962935,0.31941918571075323,0.5730917049882426,0.4269082950117574
1,"Agricultura","A","Agricultura, Pecuária, Produção Florestal, Pesca E Aquicultura","A01","Agricultura, Pecuária E Serviços Relacionados","A011","Produção de lavouras temporárias","A01148","Cultivo de fumo",13,1959,150.69230769230768,43.204102817431334,-0.5310979657940063,0.2755554376201601,0.5146439816930679,0.4853560183069321
1,"Agricultura","A","Agricultura, Pecuária, Produção Florestal, Pesca E Aquicultura","A01","Agricultura, Pecuária E Serviços Relacionados","A011","Produção de lavouras temporárias","A01156","Cultivo de soja",1463,13281,9.077922077922079,2.6983833525324177,-1.1697030017141095,0.5925064332213847,0.642123873220882,0.35787612677911795
1,"Agricultura","A","Agricultura, Pecuária, Produção Florestal, Pesca E Aquicultura","A01","Agricultura, Pecuária E Serviços Relacionados","A011","Produção de lavouras temporárias","A01164","Cultivo de oleaginosas de lavoura temporária, exceto soja",39,107,2.7435897435897436,0.5999619864898417,-0.5417669080013868,0.25517359717646115,0.5696045999060789,0.4303954000939211
1,"Agricultura","A","Agricultura, Pecuária, Produção Florestal, Pesca E Aquicultura","A01","Agricultura, Pecuária E Serviços Relacionados","A011","Produção de lavouras temporárias","A01199","Cultivo de plantas de lavoura temporária não especificadas anteriormente",488,8245,16.895491803278688,3.30641425356571,-1.0052316117989786,0.5009957020182975,0.6173855433164954,0.3826144566835046
1,"Agricultura","A","Agricultura, Pecuária, Produção Florestal, Pesca E Aquicultura","A01","Agricultura, Pecuária E Serviços Relacionados","A012","Horticultura e floricultura","A01211","Horticultura",269,2701,10.04089219330855,2.5787258969013527,-0.5272579883420507,0.262360485670342,0.6138836048437014,0.3861163951562986
1,"Agricultura","A","Agricultura, Pecuária, Produção Florestal, Pesca E Aquicultura","A01","Agricultura, Pecuária E Serviços Relacionados","A012","Horticultura e floricultura","A01229","Cultivo de flores e plantas ornamentais",58,205,3.5344827586206895,0.37989526806976626,-0.34212804286770815,0.16625967001556927,0.5612353979523789,0.43876460204762113
1,"Agricultura","A","Agricultura, Pecuária, Produção Florestal, Pesca E Aquicultura","A01","Agricultura, Pecuária E Serviços Relacionados","A013","Produção de lavouras permanentes","A01318","Cultivo de laranja",134,1700,12.686567164179104,0.8608615749431726,-0.31718119446987314,0.15041694979426554,0.5298839363136836,0.4701160636863164
