Class ID,Class,Year,RCA,Grande Sector,Grande Sector ID,RCA Prev,RCA Growth,RCA Change
"C13120","Preparação e fiação de fibras têxteis naturais, exceto algodão",2025,12.839099597874574,"Indústria",2,0.22232965277216124,12.616769945102412,12.839099597874574
"R91015","Atividades de bibliotecas e arquivos",2025,8.90985206709274,"Serviços",4,0.972761782196148,7.937090284896591,8.90985206709274
"C19322","Fabricação de biocombustíveis, exceto álcool",2025,6.294072187458289,"Indústria",2,0.3505196833243366,5.943552504133952,6.294072187458289
"C20193","Fabricação de produtos químicos inorgânicos não especificados anteriormente",2025,5.63946038999729,"Indústria",2,0.9780687279503807,4.66139166204691,5.63946038999729
"G47628","Comércio varejista de discos, CDs, DVDs e fitas",2025,3.969943292191091,"Comércio",3,0.5950517752347495,3.3748915169563416,3.969943292191091
"N77314","Aluguel de máquinas e equipamentos agrícolas sem operador",2025,3.9036648521680357,"Serviços",4,0.8277729175296559,3.07589193463838,3.9036648521680357
"P85414","Educação profissional de nível técnico",2025,3.8556474579708904,"Serviços",4,0.20221206977823367,3.6534353881926567,3.8556474579708904
"C28119","Fabricação de motores e turbinas, exceto para aviões e veículos rodoviários",2025,3.565262949976059,"Indústria",2,0.30029357817624774,3.264969371799811,3.565262949976059
"M73203","Pesquisas de mercado e de opinião pública",2025,3.3987721862493485,"Serviços",4,0.35316950621474424,3.0456026800346043,3.3987721862493485
"M71111","Serviços de arquitetura",2025,3.3648593074026407,"Serviços",4,0.9918619581740202,2.3729973492286205,3.3648593074026407
