Atividade econômica,Bahia,Brasil,Rondônia,Acre,Amazonas,Roraima,Pará,Amapá,Tocantins,Maranhão,Piauí,Ceará,Rio Grande Do Norte,Paraíba,Pernambuco,Alagoas,Sergipe,Bahia,Minas Gerais,Espírito Santo,Rio De Janeiro,São Paulo,Paraná,Santa Catarina,Rio Grande Do Sul,Mato Grosso Do Sul,Mato Grosso,Goiás,Distrito Federal
"""R - Artes, Cultura, Esporte E Recreação""",0.21999065857076133,0.18439760113117393,0.30177514792899407,0.1142578125,0.35938089845224613,0.2326923076923077,0.22308728851624496,0.31851851851851853,0.52832674571805,0.3552833078101072,0.26759884281581486,0.21011458792419568,0.20288248337028825,0.35682254964766175,0.30114054451802796,0.2514256091238984,0.22940655447298494,0.14185123146597184,0.142215276421176,0.1865424833422499,0.18381223708517883,0.19792790848262465,0.13134819145049323,0.08693794723913276,0.11820013431833445,0.28970099667774085,0.2117223650385604,0.09804309152006326
"""O - Administração Pública, Defesa E Seguridade Social""",0.21540667785053302,0.3051642234914045,0.7094080143320073,0.18850276895918455,0.4444652428390113,0.357,0.3276846660618949,0.17555352351256953,0.12791140006570642,0.2900870587850971,0.184401955484523,0.5359807723303595,0.058492724322311195,0.6861907687932601,0.14678718251956974,0.3634693280995532,0.20737375785844656,0.2060943713186042,0.03195440122223528,0.5410113618840346,0.17238371923194729,0.0639607893693926,0.10775012279887226,0.07584151784768113,0.06668614368604857,0.20395439386222872,0.16451435717040447,2.445224533050735
"""N - Atividades Administrativas E Serviços Complementares""",0.17363280221360655,0.0869553429203387,0.10960144927536232,0.17291186937408415,0.08526977727937314,-0.04933682520909014,0.1321730290601886,0.33130929791271346,0.3134918648310388,0.05127339378738183,0.07547169811320754,0.04603710635527708,0.09987828452781557,0.5296201893451348,0.08061303970684558,0.11441993121382435,0.11985664383250919,0.09625425933446159,0.051711869231082015,0.08128773677341113,0.03870391235464222,0.10310434372049103,0.11401717392908987,0.10960831036976885,0.013841104124649029,0.32003712085443087,0.13235053235053235,0.13617058875504373
"""L - Atividades Imobiliárias""",0.14861918604651161,0.029639959432048682,-0.12537612838515547,0.026455026455026454,-0.13065755764304013,-0.07936507936507936,0.02194752774974773,-0.1766109785202864,-0.06013071895424837,-0.09222194071446668,0.19513841998649561,0.04031706983736504,0.16114982578397213,0.17489986648865152,-0.0018428547495392862,0.11812443642921551,-0.039943938332165384,0.055854095424198016,0.21815058688806183,0.030603494479579805,-0.0016141392072783003,0.034667767230705734,0.045722002507957944,-0.023967636058316158,0.06619504800404244,0.0074487895716946,0.05450141299959629,0.06678476527900797
"""D - Eletricidade E Gás""",0.14319477269567635,0.04826328919593168,0.15387453874538745,-0.02517162471395881,-0.06365313653136531,-0.33260869565217394,0.1043849437330229,0.40492170022371365,0.0010615711252653928,0.04683746997598078,-0.013562386980108499,0.38088125466766243,0.10019518542615485,0.04035087719298246,0.012546386287329916,0.33121019108280253,0.06972301814708691,0.054119377889869695,0.064034151547492,0.12492894587254469,0.07712016397642839,-0.16959404443410492,-0.07955974842767295,0.0498375964271214,0.02140910860256909,0.038522547020167684,0.0057161003493172435,-0.09451518119490696
"""Q - Saúde Humana E Serviços Sociais""",0.12480806402081038,0.10844996950465152,0.39475897767712714,-0.04689274703877982,0.20600615185365065,2.272998508204873,0.13986574491533915,0.30372294372294373,0.13507390225482793,0.17686477982664467,0.20915032679738563,0.13964041985658365,0.1514958625079567,0.100410290530051,0.06310102738282863,0.08125652887628712,0.05571640183140318,0.10491060824399437,0.07156558949387634,0.13349784877442766,0.09473427537097032,0.07529270181862409,0.14110669556840078,0.07003187224019772,-0.08781133108293039,0.04787524366471735,0.12972722059907707,0.14450190961171228
"""M - Atividades Profissionais, Científicas E Técnicas""",0.09164718715910862,0.09258358297770185,0.05920137030296542,0.12557760260940473,0.13992768595041322,0.3719121683440073,0.08519077538699148,0.12751937984496123,0.13475347056007658,0.19794423585892781,0.1489800347222222,0.17526555386949924,0.09369475545079552,0.09415017462165308,0.11692941456072249,0.011721273650207661,0.1811544826243551,0.036187866880561415,0.025476532831913874,0.15937511642057944,0.06340899319506012,0.0762363304653849,0.13395206916279956,0.14983771856679196,0.17710160910321318,0.11936135070655166,0.08900499875596571,0.05823156537621316
"""P - Educação""",0.07896195561796715,0.1680411385493878,0.16675139806812406,0.15120274914089346,-0.5249956259642761,0.3386439422008151,0.03635873553063089,0.14669749963867612,0.2600605725950839,0.06524954570426404,0.3450124069478908,0.11160525201185938,0.02587403074411645,0.02234702509634364,0.02594520032603925,0.018733567046450482,0.061381778144783926,0.9895196340431197,0.0083392810187446,0.05805816582334938,0.12963990646294407,0.062279588094230495,0.016158446074897154,0.0037044329227829916,-0.15984057422135656,-0.13872847206180539,0.17472511238207797,0.03512623490669594
"""H - Transporte, armazenagem e correio""",0.07693315257611778,0.06547362599070472,0.040873781346123766,0.1390293225480283,0.11552261353979794,0.042702358189929894,0.08011591238387454,0.06649000240905806,0.005311795095685076,0.04284561394927979,0.10775917996626444,0.04637277787753636,0.025976290097629008,0.10841900527924424,0.10283981573269578,0.1158854628676862,0.08921380335790843,0.045960928671819,0.044991884852983735,0.06324231888502578,0.08768086440097451,0.05511128600808586,0.07746909041548364,0.014143785141110322,0.05277777777777778,0.022718203459331527,0.03497603355302576,0.010921721693045908
"""C - Indústrias De Transformação""",0.07467874020845472,0.03969324268915379,0.041019473374446634,0.038597483387530045,0.13644116462249192,0.19584055459272098,0.10219082621354589,0.22917200717764677,0.10385679244298314,0.10916398713826367,0.102058234579654,0.018865909234761693,0.0688378978534419,0.03625579438128699,0.04354327385068568,-0.05725089279462223,0.05599850358904814,0.027329027333653295,0.039510602088220416,0.06117135776037606,0.04078872102840161,0.052278731287487334,0.027519972641518394,-0.003679548727446929,0.09042426681790738,0.046793209336366964,0.03987332283936736,0.011146451994257888
